,Population (2020)
Australia,25550683.0
Austria,9015361.0
Belgium,11598451.0
Canada,37799407.0
Chile,19144605.0
Colombia,50976248.0
Czechia,10712481.0
Denmark,5901463.0
Estonia,1326693.0
Finland,5542237.0
France,68138601.0
Germany,83830972.0
Greece,10413936.0
Hungary,9655983.0
Iceland,341628.0
Ireland,4947267.0
Israel,13799629.0
Italy,60446035.0
Japan,126407422.0
"Korea, South",51276977.0
Latvia,1882408.0
Lithuania,2715340.0
Luxembourg,627704.0
Mexico,129166028.0
Netherlands,17481825.0
New Zealand,4849576.0
Norway,5428594.0
Poland,37839255.0
Portugal,10191409.0
Slovakia,5460109.0
Slovenia,2078989.0
Spain,46757980.0
Sweden,10110233.0
Switzerland,8665615.0
Turkey,84495243.0
US,334574127.0
United Kingdom,68467982.0
